host_time,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta
1788561455.4993796,ENC,38070,0,,0,0
1788561455.5192077,ENC,38090,0,,0,0
1788561455.538835,ENC,38110,0,,0,0
1788561455.5587919,ENC,38130,0,,0,0
1788561455.5786633,ENC,38150,0,,0,0
1788561455.5985737,ENC,38170,0,,0,0
1788561455.6188378,ENC,38190,0,,0,0
1788561455.6392727,ENC,38210,0,,0,0
1788561455.6582906,ENC,38230,0,,0,0
1788561455.6781213,ENC,38250,0,,0,0
1788561455.6980217,ENC,38270,0,,0,0
1788561455.7179427,ENC,38290,0,,0,0
1788561455.7378447,ENC,38310,0,,0,0
1788561455.7577991,ENC,38330,0,,0,0
1788561455.777656,ENC,38350,0,,0,0
1788561455.7975483,ENC,38370,0,,0,0
1788561455.81741,ENC,38390,0,,0,0
1788561455.8373368,ENC,38410,0,,0,0
1788561455.8573742,ENC,38430,0,,0,0
1788561455.8771772,ENC,38450,0,,0,0
1788561455.8970768,ENC,38470,0,,0,0
1788561455.9169934,ENC,38490,0,,0,0
1788561455.9368749,ENC,38510,0,,0,0
1788561455.9576042,ENC,38530,0,,0,0
1788561455.976724,ENC,38550,0,,0,0
1788561455.9966266,ENC,38570,0,,0,0
1788561456.0164852,ENC,38590,0,,0,0
1788561456.0364034,ENC,38610,0,,0,0
1788561456.0563142,ENC,38630,0,,0,0
1788561456.0762117,ENC,38650,0,,0,0
1788561456.0961404,ENC,38670,0,,0,0
1788561456.1160388,ENC,38690,0,,0,0
1788561456.1359386,ENC,38710,0,,0,0
1788561456.1558344,ENC,38730,0,,0,0
1788561456.1757574,ENC,38750,0,,0,0
1788561456.1956244,ENC,38770,0,,0,0
1788561456.2155838,ENC,38790,0,,0,0
1788561456.2364042,ENC,38810,0,,0,0
1788561456.255354,ENC,38830,0,,0,0
1788561456.275213,ENC,38850,0,,0,0
1788561456.2951045,ENC,38870,0,,0,0
1788561456.3150234,ENC,38890,0,,0,0
1788561456.3349352,ENC,38910,0,,0,0
1788561456.3548026,ENC,38930,0,,0,0
1788561456.3747506,ENC,38950,0,,0,0
1788561456.3946474,ENC,38970,0,,0,0
1788561456.4145925,ENC,38990,0,,0,0
1788561456.4344475,ENC,39010,0,,0,0
1788561456.454362,ENC,39030,0,,0,0
1788561456.4742174,ENC,39050,0,,0,0
1788561456.494172,ENC,39070,0,,0,0
1788561456.5145006,ENC,39090,0,,0,0
1788561456.5339477,ENC,39110,0,,0,0
1788561456.5538442,ENC,39130,0,,0,0
1788561456.5737646,ENC,39150,0,,0,0
1788561456.5937097,ENC,39170,0,,0,0
1788561456.6136932,ENC,39190,0,,0,0
1788561456.6334267,ENC,39210,0,,0,0
1788561456.6534033,ENC,39230,0,,0,0
1788561456.673246,ENC,39250,0,,0,0
1788561456.693512,ENC,39270,0,,0,0
1788561456.7130654,ENC,39290,0,,0,0
1788561456.7329621,ENC,39310,0,,0,0
1788561456.7528553,ENC,39330,0,,0,0
1788561456.7727726,ENC,39350,0,,0,0
1788561456.7926679,ENC,39370,0,,0,0
1788561456.8127823,ENC,39390,0,,0,0
1788561456.8327177,ENC,39410,0,,0,0
1788561456.8528051,ENC,39430,0,,0,0
1788561456.872833,ENC,39450,0,,0,0
1788561456.8926892,ENC,39470,0,,0,0
1788561456.9125977,ENC,39490,0,,0,0
1788561456.9324927,ENC,39510,0,,0,0
1788561456.9523776,ENC,39530,0,,0,0
1788561456.9723341,ENC,39550,0,,0,0
1788561456.9922109,ENC,39570,0,,0,0
1788561457.0121093,ENC,39590,0,,0,0
1788561457.0319808,ENC,39610,0,,0,0
1788561457.0519135,ENC,39630,0,,0,0
1788561457.0718381,ENC,39650,0,,0,0
1788561457.0916767,ENC,39670,0,,0,0
1788561457.1115804,ENC,39690,0,,0,0
1788561457.1314747,ENC,39710,0,,0,0
1788561457.151343,ENC,39730,0,,0,0
1788561457.171273,ENC,39750,0,,0,0
1788561457.1911514,ENC,39770,0,,0,0
1788561457.2110426,ENC,39790,0,,0,0
1788561457.2309363,ENC,39810,0,,0,0
1788561457.2511597,ENC,39830,0,,0,0
1788561457.2707596,ENC,39850,0,,0,0
1788561457.2906356,ENC,39870,0,,0,0
1788561457.3105757,ENC,39890,0,,0,0
1788561457.3304322,ENC,39910,0,,0,0
1788561457.3503454,ENC,39930,0,,0,0
1788561457.3702736,ENC,39950,0,,0,0
1788561457.39017,ENC,39970,0,,0,0
1788561457.4100506,ENC,39990,0,,0,0
1788561457.4299538,ENC,40010,0,,0,0
1788561457.4498744,ENC,40030,0,,0,0
1788561457.4698186,ENC,40050,0,,0,0
1788561457.489658,ENC,40070,0,,0,0
1788561457.5095987,ENC,40090,0,,0,0
1788561457.5296605,ENC,40110,0,,0,0
1788561457.5493853,ENC,40130,0,,0,0
1788561457.5693295,ENC,40150,0,,0,0
1788561457.5892096,ENC,40170,0,,0,0
1788561457.6092496,ENC,40190,0,,0,0
1788561457.6288853,ENC,40210,0,,0,0
1788561457.6487193,ENC,40230,0,,0,0
1788561457.6685915,ENC,40250,0,,0,0
1788561457.688503,ENC,40270,0,,0,0
1788561457.7084198,ENC,40290,0,,0,0
1788561457.728803,ENC,40310,0,,0,0
1788561457.7478473,ENC,40330,0,,0,0
1788561457.767772,ENC,40350,0,,0,0
1788561457.7877028,ENC,40370,0,,0,0
1788561457.8075893,ENC,40390,0,,0,0
1788561457.82754,ENC,40410,0,,0,0
1788561457.8473842,ENC,40430,0,,0,0
1788561457.8675957,ENC,40450,0,,0,0
1788561457.8878,ENC,40470,0,,0,0
1788561457.90773,ENC,40490,0,,0,0
1788561457.927717,ENC,40510,0,,0,0
1788561457.9475212,ENC,40530,0,,0,0
1788561457.967443,ENC,40550,0,,0,0
1788561457.9873555,ENC,40570,0,,0,0
1788561458.0072663,ENC,40590,0,,0,0
1788561458.0271869,ENC,40610,0,,0,0
1788561458.0471117,ENC,40630,0,,0,0
1788561458.0670083,ENC,40650,0,,0,0
1788561458.0869093,ENC,40670,0,,0,0
1788561458.1068583,ENC,40690,0,,0,0
1788561458.1267283,ENC,40710,0,,0,0
1788561458.1466832,ENC,40730,0,,0,0
1788561458.166586,ENC,40750,0,,0,0
1788561458.186547,ENC,40770,0,,0,0
1788561458.206382,ENC,40790,0,,0,0
1788561458.226324,ENC,40810,0,,0,0
1788561458.2462304,ENC,40830,0,,0,0
1788561458.2661264,ENC,40850,0,,0,0
1788561458.2860203,ENC,40870,0,,0,0
1788561458.3059416,ENC,40890,0,,0,0
1788561458.325853,ENC,40910,0,,0,0
1788561458.3457768,ENC,40930,0,,0,0
1788561458.3657703,ENC,40950,0,,0,0
1788561458.385607,ENC,40970,0,,0,0
1788561458.4054365,ENC,40990,0,,0,0
1788561458.4253752,ENC,41010,0,,0,0
1788561458.4452748,ENC,41030,0,,0,0
1788561458.46517,ENC,41050,0,,0,0
1788561458.4851253,ENC,41070,0,,0,0
1788561458.5050328,ENC,41090,0,,0,0
1788561458.524914,ENC,41110,0,,0,0
1788561458.544843,ENC,41130,0,,0,0
1788561458.5647666,ENC,41150,0,,0,0
1788561458.5847511,ENC,41170,0,,0,0
1788561458.6046607,ENC,41190,0,,0,0
1788561458.6245499,ENC,41210,0,,0,0
1788561458.6454406,ENC,41230,0,,0,0
1788561458.6640878,ENC,41250,0,,0,0
1788561458.6844933,ENC,41270,0,,0,0
1788561458.7038915,ENC,41290,0,,0,0
1788561458.7238138,ENC,41310,0,,0,0
1788561458.743782,ENC,41330,0,,0,0
1788561458.7638054,ENC,41350,0,,0,0
1788561458.7837765,ENC,41370,0,,0,0
1788561458.8036673,ENC,41390,0,,0,0
1788561458.8235922,ENC,41410,0,,0,0
1788561458.8435612,ENC,41430,0,,0,0
1788561458.863402,ENC,41450,0,,0,0
1788561458.883307,ENC,41470,0,,0,0
1788561458.9032226,ENC,41490,0,,0,0
1788561458.9230838,ENC,41510,0,,0,0
1788561458.9429982,ENC,41530,0,,0,0
1788561458.9629405,ENC,41550,0,,0,0
1788561458.9828146,ENC,41570,0,,0,0
1788561459.0027144,ENC,41590,0,,0,0
1788561459.0226395,ENC,41610,0,,0,0
1788561459.0426073,ENC,41630,0,,0,0
1788561459.0624719,ENC,41650,0,,0,0
1788561459.0823367,ENC,41670,0,,0,0
1788561459.102285,ENC,41690,0,,0,0
1788561459.1222026,ENC,41710,0,,0,0
1788561459.1424775,ENC,41730,0,,0,0
1788561459.1619904,ENC,41750,0,,0,0
1788561459.1818755,ENC,41770,0,,0,0
1788561459.2017646,ENC,41790,0,,0,0
1788561459.2216961,ENC,41810,0,,0,0
1788561459.2416632,ENC,41830,0,,0,0
1788561459.2614725,ENC,41850,0,,0,0
1788561459.2814116,ENC,41870,0,,0,0
1788561459.3013334,ENC,41890,0,,0,0
1788561459.321192,ENC,41910,0,,0,0
1788561459.3410947,ENC,41930,0,,0,0
1788561459.361016,ENC,41950,0,,0,0
1788561459.3808925,ENC,41970,0,,0,0
1788561459.4008033,ENC,41990,0,,0,0
1788561459.4207127,ENC,42010,0,,0,0
1788561459.4406047,ENC,42030,0,,0,0
1788561459.460501,ENC,42050,0,,0,0
1788561459.4803886,ENC,42070,0,,0,0
1788561459.500391,ENC,42090,0,,0,0
1788561459.5202117,ENC,42110,0,,0,0
1788561459.540116,ENC,42130,0,,0,0
1788561459.5600553,ENC,42150,0,,0,0
1788561459.5799596,ENC,42170,0,,0,0
1788561459.5999281,ENC,42190,0,,0,0
1788561459.6197755,ENC,42210,0,,0,0
1788561459.6396759,ENC,42230,0,,0,0
1788561459.6595488,ENC,42250,0,,0,0
1788561459.6795115,ENC,42270,0,,0,0
1788561459.6994495,ENC,42290,0,,0,0
1788561459.719277,ENC,42310,0,,0,0
1788561459.7391748,ENC,42330,0,,0,0
1788561459.7590911,ENC,42350,0,,0,0
1788561459.7792532,ENC,42370,0,,0,0
1788561459.798871,ENC,42390,0,,0,0
1788561459.8187943,ENC,42410,0,,0,0
1788561459.8386796,ENC,42430,0,,0,0
1788561459.8585808,ENC,42450,0,,0,0
1788561459.8784895,ENC,42470,0,,0,0
1788561459.8984659,ENC,42490,0,,0,0
1788561459.9182854,ENC,42510,0,,0,0
1788561459.9381785,ENC,42530,0,,0,0
1788561459.9581058,ENC,42550,0,,0,0
1788561459.9779994,ENC,42570,0,,0,0
1788561459.9978955,ENC,42590,0,,0,0
1788561460.0178287,ENC,42610,0,,0,0
1788561460.0378046,ENC,42630,0,,0,0
1788561460.0576615,ENC,42650,0,,0,0
1788561460.0775886,ENC,42670,0,,0,0
1788561460.097498,ENC,42690,0,,0,0
1788561460.1173704,ENC,42710,0,,0,0
1788561460.1372683,ENC,42730,0,,0,0
1788561460.1568038,ENC,42750,0,,0,0
1788561460.1764643,ENC,42770,0,,0,0
1788561460.1963973,ENC,42790,0,,0,0
1788561460.2163165,ENC,42810,0,,0,0
1788561460.2364445,ENC,42830,0,,0,0
